Season,Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90
2026,1,Liverpool,4,4,0,0,9,4,5,12,3,6,3.3,2.7,0.67
2026,2,Arsenal,4,3,0,1,9,1,8,9,2.25,6.2,2.4,3.9,0.97
2026,3,Tottenham,4,3,0,1,8,1,7,9,2.25,4.8,4.6,0.2,0.05
2026,4,Bournemouth,4,3,0,1,6,5,1,9,2.25,6,3.5,2.5,0.63
2026,5,Chelsea,4,2,2,0,9,3,6,8,2,7.7,3.7,4,1
2026,6,Everton,4,2,1,1,5,3,2,7,1.75,6.3,5.9,0.4,0.09
2026,7,Sunderland,4,2,1,1,5,3,2,7,1.75,3.4,4.5,-1.1,-0.27
2026,8,Manchester City,4,2,0,2,8,4,4,6,1.5,8.4,5.1,3.3,0.83
2026,9,Crystal Palace,4,1,3,0,4,1,3,6,1.5,6.2,4,2.2,0.54
2026,10,Newcastle Utd,4,1,2,1,3,3,0,5,1.25,4.4,2.1,2.3,0.58
2026,11,Fulham,4,1,2,1,3,4,-1,5,1.25,4.4,6,-1.7,-0.41
2026,12,Brentford,4,1,1,2,5,7,-2,4,1,5.2,5.8,-0.6,-0.14
2026,13,Brighton,4,1,1,2,4,6,-2,4,1,6.7,5.6,1.1,0.28
2026,14,Manchester Utd,4,1,1,2,4,7,-3,4,1,7.9,6.9,1,0.24
2026,15,Nott'ham Forest,4,1,1,2,4,8,-4,4,1,3.7,6.7,-3.1,-0.77
2026,16,Leeds United,4,1,1,2,1,6,-5,4,1,3.7,4.8,-1.1,-0.29
2026,17,Burnley,4,1,0,3,4,7,-3,3,0.75,3.2,9.2,-6,-1.5
2026,18,West Ham,4,1,0,3,4,11,-7,3,0.75,4.3,5.5,-1.1,-0.28
2026,19,Aston Villa,4,0,2,2,0,4,-4,2,0.5,2.9,7.3,-4.4,-1.09
2026,20,Wolves,4,0,0,4,2,9,-7,0,0,2.6,7.1,-4.5,-1.13
